,Team,MP,Pts
16,Arsenal,37,91.21281530502715
2,Brighton & Hove Albion,36,84.94392881426886
14,Manchester City,36,83.58766965179349
8,Brentford,36,80.2616004657137
13,Nottingham Forest,36,65.21096014974064
7,Chelsea,36,60.201120496709066
12,Leeds United,36,54.79427679280361
1,Ipswich Town,36,52.69573186345464
6,Crystal Palace,36,52.50767708914288
17,Coventry City,36,51.431299224642096
9,AFC Bournemouth,36,49.51930603694118
5,Sunderland,36,44.16006165131837
0,Liverpool,36,42.79160782110443
19,Fulham,36,39.70683018766442
15,Everton,36,38.88061481387835
3,Manchester United,36,27.483536092097303
11,Tottenham Hotspur,36,27.291752648730412
10,Hull City,36,26.056418460971535
18,Newcastle United,36,24.529137985647047
4,Aston Villa,37,15.880231956712661
